Player,Date,Ranking Points
Rafael Nadal,2009/07/13,10735
Rafael Nadal,2009/07/06,10735
Rafael Nadal,2009/06/22,12735
Rafael Nadal,2009/06/15,12735
Rafael Nadal,2009/06/08,13140
Rafael Nadal,2009/05/25,14960
Rafael Nadal,2009/05/18,14960
Rafael Nadal,2009/05/11,15360
Rafael Nadal,2009/05/04,15290
Rafael Nadal,2009/04/27,14890
Rafael Nadal,2009/04/20,15390
Rafael Nadal,2009/04/13,14470
Rafael Nadal,2009/04/06,14470
Rafael Nadal,2009/03/23,14990
Rafael Nadal,2009/03/09,14360
Rafael Nadal,2009/03/02,14360
Rafael Nadal,2009/02/23,14510
Rafael Nadal,2009/02/16,14510
Rafael Nadal,2009/02/09,14260
Rafael Nadal,2009/02/02,14260
Rafael Nadal,2009/01/19,13160
Rafael Nadal,2009/01/12,13160
Rafael Nadal,2009/01/05,13160
Rafael Nadal,2008/12/29,6675
Rafael Nadal,2008/12/22,6675
Rafael Nadal,2008/12/15,6675
Rafael Nadal,2008/12/08,6675
Rafael Nadal,2008/12/01,6675
Rafael Nadal,2008/11/24,6675
Rafael Nadal,2008/11/17,6675
Rafael Nadal,2008/11/10,6675
Rafael Nadal,2008/11/03,6675
Rafael Nadal,2008/10/27,7100
Rafael Nadal,2008/10/20,7100
Rafael Nadal,2008/10/13,7000
Rafael Nadal,2008/10/06,7000
Rafael Nadal,2008/09/29,7000
Rafael Nadal,2008/09/22,7000
Rafael Nadal,2008/09/15,7000
Rafael Nadal,2008/09/08,7000
Rafael Nadal,2008/08/25,6700
Rafael Nadal,2008/08/18,6700
Rafael Nadal,2008/08/11,6305
Rafael Nadal,2008/08/04,6455
Rafael Nadal,2008/07/28,6305
Rafael Nadal,2008/07/21,5830
Rafael Nadal,2008/07/14,6055
Rafael Nadal,2008/07/07,6055
Rafael Nadal,2008/06/23,5755
Rafael Nadal,2008/06/16,5755
Rafael Nadal,2008/06/09,5585
Rafael Nadal,2008/05/26,5585
Rafael Nadal,2008/05/19,5585
Rafael Nadal,2008/05/12,5435
Rafael Nadal,2008/05/05,5930
Rafael Nadal,2008/04/28,5655
Rafael Nadal,2008/04/21,5455
Rafael Nadal,2008/04/14,5930
Rafael Nadal,2008/04/07,5930
Rafael Nadal,2008/03/24,5705
Rafael Nadal,2008/03/10,5980
Rafael Nadal,2008/03/03,5930
Rafael Nadal,2008/02/25,5980
Rafael Nadal,2008/02/18,5980
Rafael Nadal,2008/02/11,5980
Rafael Nadal,2008/02/04,5980
Rafael Nadal,2008/01/28,5980
Rafael Nadal,2008/01/14,5780
Rafael Nadal,2008/01/07,5780
Rafael Nadal,2007/12/31,5735
Rafael Nadal,2007/12/24,5735
Rafael Nadal,2007/12/17,5735
Rafael Nadal,2007/12/10,5735
Rafael Nadal,2007/12/03,5735
Rafael Nadal,2007/11/26,5735
Rafael Nadal,2007/11/19,5735
Rafael Nadal,2007/11/12,5535
Rafael Nadal,2007/11/05,5535
Rafael Nadal,2007/10/29,5385
Rafael Nadal,2007/10/22,5385
Rafael Nadal,2007/10/15,5385
Rafael Nadal,2007/10/08,5385
Rafael Nadal,2007/10/01,5385
Rafael Nadal,2007/09/24,5385
Rafael Nadal,2007/09/17,5385
Rafael Nadal,2007/09/10,5385
Rafael Nadal,2007/08/27,5485
Rafael Nadal,2007/08/20,5485
Rafael Nadal,2007/08/13,5605
Rafael Nadal,2007/08/06,5455
Rafael Nadal,2007/07/30,5455
Rafael Nadal,2007/07/23,5455
Rafael Nadal,2007/07/16,5225
Rafael Nadal,2007/07/09,5225
Rafael Nadal,2007/06/25,5225
Rafael Nadal,2007/06/18,5225
Rafael Nadal,2007/06/11,5225
Rafael Nadal,2007/05/28,5225
Rafael Nadal,2007/05/21,5225
Rafael Nadal,2007/05/14,4875
Rafael Nadal,2007/05/07,4875
Rafael Nadal,2007/04/30,4875
Rafael Nadal,2007/04/23,4875
Rafael Nadal,2007/04/16,4875
Rafael Nadal,2007/04/09,4875
Rafael Nadal,2007/04/02,4875
Rafael Nadal,2007/03/19,4755
Rafael Nadal,2007/03/05,4480
Rafael Nadal,2007/02/26,4705
Rafael Nadal,2007/02/19,4705
Rafael Nadal,2007/02/12,4775
Rafael Nadal,2007/02/05,4775
Rafael Nadal,2007/01/29,4775
Rafael Nadal,2007/01/15,4525
Rafael Nadal,2007/01/08,4525
Rafael Nadal,2007/01/01,4470
Rafael Nadal,2006/12/18,4470
Rafael Nadal,2006/12/11,4470
Rafael Nadal,2006/12/04,4470
Rafael Nadal,2006/11/27,4470
Rafael Nadal,2006/11/20,4470
